"";"sound";"sum_favourite";"mean_pre_loudness";"mean_pre_distress";"mean_pause_count";"mean_listen_time";"mean_longest_listen_time";"mean_post_loudness";"sound_mechanism";"sound_origin";"mean_delta_sound_rating"
"1";"applause";45;50,9780487804878;36,0926829268293;0,223880597014925;117,729268292683;119,592682926829;50,4757834757835;0;1;-0,475783475783476
"2";"beachwaves";832;54,3838690115221;42,3923590054579;0,362399505256649;82,9654335961189;500,462704669497;48,3732193732194;0;1;1,62678062678064
"3";"bees";195;53,2391975308642;38,6003086419753;0,220820189274448;130,240740740741;134,407407407407;49,4963898916968;0;1;0,50361010830325
"4";"birdwings";23;56,3003300330033;44,2673267326733;0,346666666666667;179,762376237624;455,069306930693;49,4798387096774;0;1;0,520161290322579
"5";"bonfire";74;55,1977272727273;46,8386363636364;0,405963302752293;533,620454545455;572,629545454545;47,6929577464789;0;1;2,30704225352113
"6";"bubbling";196;52,004;36,94;0,228282828282828;174,222;183,756;48,2272727272727;0;1;1,77272727272727
"7";"churchbells";186;53,1761280931587;37,4687045123726;0,25;-4,87772925764192;150,292576419214;48,535472972973;1;1;1,46452702702702
"8";"cicada";207;55,8058007566204;47,0252206809584;0,398717948717949;311,005044136192;359,046658259773;49,5357142857143;1;1;0,464285714285712
"9";"creakingdoor";17;55,1264367816092;44,1417624521073;0,359683794466403;117,471264367816;139,973180076628;49,3686868686869;1;1;0,631313131313131
"10";"crowdbabble2";148;53,9643916913947;41,1216617210683;0,30441400304414;225,881305637982;274,755192878338;50,6439114391144;0;1;-0,643911439114392
"11";"deep_am_10";25;54,6880222841226;44,1977715877437;0,424501424501424;338,150417827298;350,721448467967;48,3888888888889;0;0;1,61111111111111
"12";"deep_am_4";27;53,6514522821577;43,7593360995851;0,347457627118644;55,4066390041494;91,0746887966805;48,2267441860465;0;0;1,77325581395349
"13";"deep_am_40";132;54,4784688995215;43,4242424242424;0,381967213114754;251,089314194577;284,414673046252;48,4265593561368;0;0;1,57344064386318
"14";"deep_pure";276;50,0799373040752;33,757053291536;0,253565768621236;71,5156739811912;376,086206896552;49,6091743119266;0;0;0,390825688073396
"15";"desertwind";110;56,0352303523035;41,6124661246612;0,244444444444445;161,991869918699;163,005420054201;50,4949152542373;0;1;-0,494915254237287
"16";"didgeridoo";244;53,4814340588988;38,3111395646607;0,245110821382008;242,263764404609;255,633802816901;48,6053811659193;0;1;1,39461883408072
"17";"flappingflag";9;55,6580882352941;46,2830882352941;0,283582089552239;148,742647058824;164,893382352941;48,92;0;1;1,08
"18";"fm_am";119;57,7661290322581;46,6666666666667;0,41225626740947;-230,204301075269;537,158602150538;44,9007092198581;1;0;5,09929078014184
"19";"fm_am_10";68;54,6727272727273;44,44;0,4;132,676363636364;158,92;46,6421052631579;1;0;3,35789473684211
"20";"fm_am_4";106;52,49343832021;43,1784776902887;0,334231805929919;13,9343832020997;325,816272965879;46,8321917808219;1;0;3,16780821917808
"21";"fm_am_40";171;57,0888429752066;44,6632231404959;0,333333333333333;259,264462809917;469,206611570248;49,8604651162791;1;0;0,139534883720926
"22";"frogs";72;56,44;41,6738461538462;0,290220820189274;175,926153846154;181,510769230769;48,5559701492537;1;1;1,44402985074627
"23";"gong";65;55,7970588235294;45,0882352941176;0,283582089552239;390,552941176471;391,938235294118;48,9777777777778;1;1;1,02222222222222
"24";"kettle";56;54,7932960893855;42,9748603351955;0,430985915492958;98,2765363128492;101,187150837989;46,2288732394366;1;1;3,77112676056338
"25";"laughingkids";74;53,6020942408377;39,3900523560209;0,244505494505494;102,630890052356;104,073298429319;47,2115384615385;1;1;2,78846153846153
"26";"mice";49;56,6666666666667;47,8442367601246;0,353503184713376;119,205607476636;127,227414330218;46,1807228915663;1;1;3,81927710843373
"27";"notchedmeditation";530;53,1664994984955;37,5366098294885;0,247967479674797;180,823470411234;443,385155466399;49,9276018099548;1;1;0,0723981900452491
"28";"notchedmusic";239;55,9306296691569;43,5112059765208;0,323913043478261;143,165421558164;428,84098185699;47,5474934036939;1;1;2,45250659630606
"29";"pink";165;56,1986143187067;45,4988452655889;0,272941176470588;357,886836027714;447,568129330254;49,4245810055866;0;0;0,575418994413413
"30";"pink_10";42;57,7305936073059;40,9954337899543;0,366972477064221;144,65296803653;176,566210045662;47,1479289940828;0;0;2,85207100591716
"31";"pink_4";80;56,5730337078652;48,3876404494382;0,255747126436782;118,036516853933;133,469101123595;46,78125;0;0;3,21875
"32";"pink_40";24;57,6904761904762;46,8968253968254;0,376518218623482;88,3611111111111;117,571428571429;50,8196721311475;0;0;-0,81967213114754
"33";"purple";280;57,1661764705882;45,7176470588235;0,294642857142857;158,85;227,2;49,175313059034;0;0;0,824686940966012
"34";"purple_10";22;56,6616766467066;47,0688622754491;0,324242424242424;40,625748502994;451,673652694611;48,4409448818898;0;0;1,55905511811024
"35";"purple_4";125;54,9486552567237;46,0709046454768;0,345679012345679;-661,838630806846;869,342298288509;47,2530864197531;0;0;2,74691358024691
"36";"purple_40";118;57,2703703703704;47,5814814814815;0,284629981024668;179,116666666667;252,02037037037;47;0;0;3
"37";"purringcat";308;48,8648648648649;29,9369369369369;0,22;167,434234234234;182,684684684685;48,7050505050505;0;1;1,2949494949495
"38";"rain";453;53,2370820668693;41,1995947315096;0,260373443983402;305,432624113475;405,806484295846;49,0604265402844;0;1;0,939573459715641
"39";"rustlingleaves";112;54,9828850855746;41,3105134474328;0,220843672456576;153,21271393643;160,163814180929;49,1632047477745;0;1;0,836795252225517
"40";"screamingkids";4;55,1556291390729;43,7582781456954;0,332191780821918;53,9801324503311;68,1688741721854;50,7366071428571;1;1;-0,736607142857143
"41";"seagulls";182;55,8390243902439;37,5951219512195;0,254575707154742;132,990243902439;157,169105691057;48,5471698113208;1;1;1,45283018867925
"42";"shower";266;56,5441354292624;45,1451027811366;0,27148194271482;224,546553808948;293,938331318017;47,6471449487555;0;1;2,35285505124451
"43";"sparrows";411;57,3050153531218;44,2067553735926;0,357442348008385;181,523029682702;307,792221084954;45,9582338902148;1;1;4,0417661097852
"44";"teethbrushing";7;56,5364238410596;46,3509933774834;0,344827586206896;381,983443708609;390,251655629139;48,3362445414847;1;1;1,66375545851528
"45";"tin_am_10";114;55,6724470134875;45,757225433526;0,337231968810916;317,947976878613;340,603082851638;48,2772277227723;1;0;1,72277227722772
"46";"tin_am_4";142;54,7260273972603;46,5150684931507;0,329577464788732;71,4876712328767;103,405479452055;48,0561797752809;1;0;1,9438202247191
"47";"tin_am_40";202;54,9133986928105;43,0539215686275;0,366776315789474;96,3300653594771;262,736928104575;48,5263157894737;1;0;1,47368421052632
"48";"tin_pure";176;55,5009823182711;42,9469548133595;0,395112016293279;695,088408644401;749,023575638507;50,2336683417085;1;0;-0,23366834170854
"49";"tumblingrocks";12;54,9372549019608;45,9686274509804;0,382470119521912;168,545098039216;195,294117647059;49,2994923857868;0;1;0,700507614213198
"50";"waterfall";407;54,699716713881;43,2464589235127;0,313649564375605;284,091595845137;477,057601510859;49,8852097130243;0;1;0,11479028697572
"51";"whales";130;57,031914893617;40,636170212766;0,224622030237581;339,323404255319;349,96170212766;48,1712846347607;1;1;1,8287153652393
"52";"wn";361;56,3388235294118;43,6494117647059;0,264988009592326;296,061176470588;315,704705882353;47,5757575757576;0;0;2,42424242424242
"53";"wn_am_10";47;55,3720930232558;45,2997416020672;0,407894736842105;159,726098191214;188,483204134367;48,1717171717172;0;0;1,82828282828283
"54";"wn_am_10_bp";27;56,2419928825623;45,1387900355872;0,359712230215827;416,227758007117;440,491103202847;51,5774647887324;1;0;-1,57746478873239
"55";"wn_am_10_notch";169;56,1990049751244;45,301824212272;0,247038917089678;139,630182421227;348,719734660033;47,045643153527;1;0;2,95435684647303
"56";"wn_am_4";42;57,875;40,3344594594595;0,24406779661017;155,996621621622;163,679054054054;48,4;0;0;1,6
"57";"wn_am_4_bp";25;54,5892116182573;44,2448132780083;0,383620689655172;-395,697095435685;1079,63485477178;47,5;1;0;2,5
"58";"wn_am_4_notch";153;55,312925170068;45,4126984126984;0,327981651376147;184,283446712018;218,167800453515;49,4264264264264;1;0;0,573573573573572
"59";"wn_am_40";159;56,1516129032258;46,75;0,353518821603928;-6,16612903225806;243,227419354839;51,8909090909091;0;0;-1,89090909090909
"60";"wn_am_40_bp";61;56,5625;46,9464285714286;0,350453172205438;219,029761904762;247,642857142857;50,568;1;0;-0,568
"61";"wn_am_40_notch";243;54,489932885906;44,1167785234899;0,333785617367707;154,240268456376;305,430872483221;48,7754749568221;1;0;1,22452504317789
"62";"wn_bp";220;51,5;41,0434027777778;0,390845070422535;-280,055555555556;1417,83333333333;50,5232815964523;1;0;-0,523281596452328
"63";"wn_notch";60;56,4606986899563;44,1615720524017;0,313333333333334;455,366812227074;489,665938864629;51,6834733893557;1;0;-1,68347338935573
"64";"writing";31;56,6315789473684;46,6194331983806;0,360995850622407;73,5668016194332;74,4048582995951;47,9075144508671;1;1;2,09248554913295
